,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
242,Myl9,Casq1,Fgfr4,A3galt2,Atp8a2,Spock2,Cep68,Inhba,Slpi,Alas2,Magel2,Qprt,Acss3,Hp,Grin2c,Ces2g,Fbxl8,Strc,Cd300lb,Stc2,Col6a2,Tmem220,Ces2g,Galr3,Sod3,Fli1,Rxfp3,Ccdc74a,Tesmin,Il2ra
243,Gstt2,Tmem60,Gin1,Pde4c,Npr2,Drc1,Kcnj8,Armcx5,Hsf2bp,Colec10,Klrb1a,Sprr1a,Mcam,Saa1,Actn2,Kcne2,Prelp,Crocc2,Kcnd2,Ccnd3,Gnai3,Plau,Rhd,Dynlrb2,Tnni3,Nfkbid,Pbk,Epsti1,Slc43a1,Ighg3
244,Adam33,Tmie,Rasip1,Npm2,Cntn2,Scrt1,Il1rapl1,Osbp2,Cdkn2a,Knl1,Tbata,Zpbp,Ttll6,Ccdc65,Rapgef5,Odf3,H2-Q7,Pla2g2d,Cebpa,Npm2,Nfkbia,Fam92b,Fam178b,Nr1h3,Gvin1,Grap2,Fam47e,Hck,Srms,Trdc
245,Ctla2b,Espn,Ripor2,Acot5,Slc4a10,Pcp4l1,Dtnb,Dsp,Cnksr1,Dtl,Tmprss2,Cyp11b1,Iqcd,Fbxl8,Camsap3,Alox12b,Adh1,Marveld3,Wdr62,Ms4a4d,Slc7a10,Rhbdf2,Odf3,Oas1c,Traf1,Runx3,Marveld3,Prkd2,Cnn1,Fcer2a
246,Map3k6,Ccdc173,Lrrc23,Ccdc81,Rasgrf2,Slc4a10,Agbl2,Med7,Trim55,Tex43,Fcnb,Slco2a1,Rpgr,Dnah10,Rsph9,Nhlh1,Kynu,Matn1,Bcl11b,Ccn1,Raver2,Ccdc88c,Trbv12-2,Timeless,Baz1a,Cd5,Kcnh4,Mylk,Samd13,Dnase1l3
247,Hsd17b1,Depp1,Tnfrsf13b,Adamts6,Hoxd3,Trh,Gjb2,Nanos1,Mroh8,Edn3,Clec18a,Wnt10b,Nme9,Serpinb8,Hspa12b,Fbxo47,Iglc2,Has1,Abcc9,Parp16,Adap2,Adh1,Fkbp11,Ccdc121,Hdac7,Aebp1,Epcam,Tmem123,Fignl1,Cmpk2
248,Marveld3,Trbc1,S100a8,Dnah9,Hs6st2,Mtus2,Tbx1,Elavl4,Cdhr3,Csf2rb,Gprc5a,Art1,Dlec1,Trim30b,Gad1,Mindy4b-ps,Cbfa2t3,AI182371,Ncaph,Klhl35,Thbs2,Rad54l,Tesc,Sdcbp2,Parp14,Stat1,Ildr1,Tlr2,Myom2,Pln
249,Rxfp3,Mpzl2,Rnf133,Ajuba,Camk2a,Vwc2,Slc25a35,Grin2c,Rnf125,Art1,Acan,Sowahb,Cfap299,Pheta2,Tmem145,Cfd,Ptpn7,Rxfp3,Pcdha1,Olfr78,Aga,Dpt,Slc26a7,Ms4a4a,Tspan32,Lrrk2,A3galt2,H2-Oa,Lilra5,Lyz1
250,Gabre,Il2ra,Rassf9,H2-M3,Gria3,Tmem25,Syt17,Camk2b,Mns1,Cyp11b1,Plcxd3,Klhl10,Lrrc74b,Knl1,Paqr5,Rhd,Traf1,Cd96,Rnf39,Mpzl2,Lat2,Ropn1l,Syt8,Trdc,Egr3,Lfng,Bnipl,Il27ra,Gpr160,Cstad
251,Tmem60,Aox3,Pgpep1l,Islr,Rab36,Slc17a6,Igtp,Mfsd5,Fosb,Slco2a1,Fam92b,Grhl3,Cdhr3,Dtl,Scrt1,Pabpc1l,Ms4a1,Pbk,Gpr160,Angptl1,Cd109,Apoc4,Wfdc8,Il4i1,Bmf,Zap70,Ccl1,Cnr2,Angptl1,Cd6
252,Met,Ptger1,Lrg1,Sh2d1b1,Ccdc30,Resp18,Slc22a8,Ccm2l,Wif1,Chaf1b,Gabrg2,Casr,Catip,Mroh5,Ddit4l,Trbv12-2,Ifi205,Kcnh4,Fam149a,Lilra5,Ccdc88b,Hoxc13,Ltf,Cfap45,Aldh1a2,Abca7,Cass4,Sp100,Olfr691,Ulbp1
253,Slc43a1,Gda,Ifi206,Rasa4,Grin2a,Flrt1,Zbp1,Fry,Pdcd1lg2,Wnt10b,Odf3,Gapt,Nfkbia,Colec10,Grik1,Aldh3b2,Myb,Fam47e,Dnah12,Ptger1,Cacng7,Masp1,Krt18,Scarf1,Klf2,Arid3b,Zfp994,Pear1,Insl6,Cd69
254,Tesmin,Tcf15,Gzma,Wdr62,Rabl2,Pcdh8,Scrt2,Rnf112,Saa1,Klhl10,Fam178b,Cdkn3,Rfx3,Tex43,Gdpd2,Fam178b,Rrm2,Pitx2,Pard6a,Mrgprh,Ccdc141,Pi16,Nrk,Qprt,Atp2a3,Plekhg2,Rslcan18,Myo7a,Dnah8,Ffar1
255,Colgalt2,Aurkb,Arhgap29,Btk,Clcn4,Cacng5,Hspb8,Adam8,Camp,Sowahb,Fbxo47,Xirp1,Lrrc51,Alas2,Galnt14,Itgb1bp2,Cd37,Kif4,Arid3b,Aurkb,Cd300lf,Spata17,Treml1,Cxcl9,Flna,Dock8,Kif4,Itgam,Rnf39,Siglecf
256,Sh2d4a,Ighg3,Itga4,Sctr,Mical2,Reep2,She,Igtp,Tslp,Mei4,Itgb1bp2,Clec12b,Pi15,Ccl4,Kcnn3,Nhlrc1,Bcl11b,Epcam,Gck,Sphk1,Cyth4,Ier5,Slc6a16,Tnfsf11,Myo1c,Epsti1,F10,Plcg2,P2rx1,Sypl2
257,Zfp958,Hsh2d,Pilra,Agtr2,Plppr3,Camsap3,Sypl2,Pgbd5,Gfra3,Cdkn3,Alox12b,F9,Cnn2,Slco2a1,Snap47,Trpv6,Ngfr,Ccl1,Prg4,Arhgap45,Serping1,Hoxa2,Slc17a7,Clec14a,Bcl2,Skap1,Acot5,Csf2rb,Hjv,H2-Q6
258,Ngp,Zfp108,Ect2l,Aire,Shank2,Pld6,Cdkn1a,Oasl2,Met,Gapt,Nhlh1,Ly6g5b,Iqgap2,Sowahb,Nrn1,Nrk,Tnfrsf18,Myot,Neu4,Cnr2,Vcan,Casc1,Cpa6,Cxcr3,Col5a1,Iglc2,Shcbp1,Aif1,Pcdha1,Sell
259,Ropn1l,Rfx2,Htr5b,Fgfr4,Sh3rf3,Stac2,Tesmin,Aldh1a7,Nos1,F9,Aldh3b2,Cd209a,Lmod1,Zpbp,Nos1,Crct1,Atf3,Zfp994,Cep41,Traf1,Hdac7,Ptprcap,Trpv6,Nek11,Asap3,Atxn2l,Il18r1,Card9,Ccn4,Clec9a
260,Col6a1,Acta2,Cldn19,Zfp36,Aatk,L3mbtl1,Hspb1,Cacng7,Knl1,Clec12b,Trbv12-2,Anxa1,H2-Q6,Klhl10,Tle2,Qrfprl,Hcls1,Rslcan18,Foxm1,Itga11,Mfsd5,Hspa2,Crct1,Ltbp1,Zic1,Spn,Klrb1f,Fxyd5,Chrne,Clec2i
261,Lmntd1,Dnah1,Hist1h2ae,Ncaph,Inpp5j,Sema3e,BC017158,Actr2,Colec10,Casr,Mindy4b-ps,Pde4c,Chia1,Art1,Peak1,Slc30a2,Zfp764,Best3,Glce,Aoc3,Mybpc1,Amhr2,Qrfprl,Irf7,Spn,Ctsz,Hist1h1t,Tagln,Sh2d1b1,Sema4c
262,Gda,Cfap45,Cd7,Chia1,L3mbtl1,Sema4g,Ip6k3,Nqo2,Pheta2,Xirp1,Cfd,Igkv1-122,Spag6l,F9,Fam149a,Syt8,Tnfrsf1b,A3galt2,Ier5,Hist1h2ap,Igtp,Fank1,Tdrd12,Vegfd,Gjb2,Hist1h1b,Plaat5,Rasgrp3,Rad54b,Ptk2b
263,Col6a2,Sbspon,Psrc1,Vit,Cacna1e,Atxn2l,Rreb1,Dlk1,Dtl,Enpp3,Pabpc1l,Sptlc3,Rfx2,Mei4,Galr3,Cpa6,Pi16,Cass4,Lrrc9,Fcgr4,Gpnmb,Tmprss2,Gfy,Hes1,B4galnt1,Bcl2l12,Ms4a4d,Sod3,Dthd1,Kcnmb1
264,Cacna1s,Scarf1,Bok,Aqp9,Kcna1,Trim66,Lrrc51,Gal,Mroh5,Grhl3,Ces2g,Acad12,Daw1,Clec12b,Nmur2,Gfy,Stk26,Bnipl,Aqp9,Tnni3,Kif6,Fxyd6,Gbp9,Acot1,Cd79a,Hck,Il20ra,Fcmr,Myo1a,Zic4
265,Gdnf,Myom1,Impg2,Nyx,Slc32a1,Rgs11,Gbp5,Tcf7l2,Alas2,Slc44a5,Kcne2,Fam124b,Prom1,Casr,Grm2,Krt18,Prkd2,Ildr1,Lmntd1,Gzma,Tgm1,Treml1,Dlk2,Trim14,Cd2,Maf,Npm2,Sat1,Acbd7,Fxyd5
266,Ttll9,Emp2,Samd5,Coch,Maf,Casz1,Ift81,Ywhaz,Zfp235,Ttc25,Zic4,Cd163l1,Spag8,Chaf1b,Ccdc85a,Tdrd12,Dnaaf3,Abra,Pgpep1l,Hist1h1b,Lpl,Cd3d,Cd300lg,Siglecf,Siglecg,Cxcl16,Grifin,Thbs2,Agtr2,Myl2
267,Crym,Llgl2,Bik,Cep41,Zfp398,Arhgef33,Sh3bp4,Syt17,Gjd2,Dclre1b,Nanos1,Nccrp1,Col5a3,Wnt10b,Tmem60,Treml1,Gimap4,Zfp366,Hist1h1c,Clec14a,Synpo2,Urah,Trim55,Hhex,Slc6a13,Stat4,Mmp3,Tap1,Fgfr4,Ccl2
268,Hist1h3a,Nms,Tctex1d4,Tlcd2,Sez6,Pnma3,Pim1,Gabrg2,Ntn5,Casc1,Kcng2,Lhcgr,Adap2,Cyp11b1,Zmynd10,Wfdc8,Wtip,Mmp3,Isg20,Pilra,Rasl12,Spi1,Cdkn2a,Bst2,Batf3,Abracl,Igkv4-72,Tnfrsf1b,Ankrd2,Tagap
269,Zfp235,Anxa1,Fam183b,Gfi1,Kcnab1,Colgalt2,St8sia5,Asap3,Stc2,Itga11,Zfp974,Sytl3,Mak,Enpp3,Sez6l,Slc17a7,Unc13d,Ms4a4d,Gzma,Ifi30,Rasal3,Prok1,Slpi,Phf11b,Btg1,Lrg1,Txndc2,Bank1,Uts2b,Ubd
270,Il1r1,Tnfrsf13c,Arhgap30,Slc38a5,Kcnd2,Thada,Sp9,Higd1b,Zfp958,Osbp2,Ucn,Artn,Rsph9,Xirp1,Kcnd3,Dmrt2,Gprc5c,Npm2,Gfi1,Nkx2-9,T2,Nhlrc1,Cnksr1,Cdkn1a,Bmp6,Cmah,Iqca,Cd2,Prg4,Ptprcap
271,Tcf7l2,Klhl40,Prtn3,Cfap74,Sez6l,Actn2,Degs2,Atp2b4,S100a7a,Prkag3,Qrfprl,Mef2b,Meis2,Gapt,Cfap74,Pla2g4f,Ighd,Grifin,Cacna1s,Cd52,Apbb1ip,Snai1,Hsf2bp,Ccdc170,Rasgrp4,Tagln2,Onecut3,Spp1,Tll2,Car3
272,Atf3,Ifng,Oas3,Pilra,Plch2,Grm8,Kcnj14,L1cam,Wnt10b,Artn,Wfdc8,Aldh1a7,Drc3,Grhl3,Pcp4,Ccdc33,Grap,F10,Nek2,Tmem221,Ccdc74a,Colec10,Urah,Baiap2l1,Frmd4a,Fxyd5,Chrna3,Ffar1,Gck,Cep41
273,Bik,Icos,B3gnt6,Abcc9,Snca,Coro6,Zfp958,Cep41,Gapt,Gmnc,Ltf,Prkag3,Paqr5,Kcnk5,Atxn2l,Rreb1,Itih2,Igkv4-72,Mns1,Arhgap30,Ccdc114,Dtl,Mroh8,Map3k1,Tnfrsf13c,Col18a1,Lefty1,Rnd3,Ngp,Trim14
274,Fcnb,Cxcr3,Spaar,Gpr139,Tacc2,Gria3,Ttc12,Hpn,Enpp3,Acad12,Trpv6,Il12a,Gas2l2,Tnfaip8l3,Col18a1,Cdkn2a,Vwf,Acot5,Scg2,Lipt1,Rad9b,Mustn1,Gemin4,Cd109,Hspb8,Flna,Sct,Egr3,Ighg2b,Efcab7
275,Klrb1a,Tbata,Ccdc153,Tmem221,Anxa6,Myt1,Ctsz,Vip,Klhl10,Cd163l1,Slc6a16,Flrt1,Rcsd1,Sptlc3,Kcnq4,Cd300lg,Atp2a3,Il20ra,Cdhr3,Spi1,Casr,Col6a3,Stk26,Pla2g2d,Fam43a,Hspg2,Cd300lb,Ncaph,Mrgprh,Arid3b
276,Syt15,Klrb1a,Lrrk2,Dytn,Tppp3,Cd24a,Ccdc60,Qprt,Casr,Ctse,Treml1,Icos,Olfml2a,Igkv1-122,Nwd1,Urah,Ahnak2,Mrln,Hoxc13,Crym,Dlk2,Xirp1,Prok1,Igf2,Haao,Cnr2,Col6a6,Bcl2l12,Neurog2,Kmo
277,Spaar,Fcnb,B4galnt1,Zfp185,Ptch1,Prune2,Parp16,Mtus2,Zpbp,Nccrp1,Slc17a7,Ccdc40,Slfn5,Ctse,Atp8a2,Slpi,Pou2af1,Shcbp1,Ankle1,Epha1,Glis3,Rad9b,Gfra3,Gtse1,Rhoh,Daxx,Art3,Ccl8,Aire,Slamf1
278,Ces2g,Tmprss2,Arhgap45,Galr1,Kcnj3,Map6,Spata33,Ifit1,Slco2a1,Gsg1,Slc26a7,Cxcr3,Ppfibp1,Mef2b,Gjd2,Mroh8,Rhoh,Txndc2,Cfap73,Ccdc68,Kcp,Igkv1-122,Teddm2,Tnr,Prkd2,Rasgrp4,Srms,Cnn2,Mc4r,Ccl8
279,Spata33,Clec18a,Myocd,Pklr,Shisa7,Sema4f,Sdsl,Pard6a,Mei4,Mef2b,Krt18,Depdc1b,Fam167a,Fam124b,Atp13a4,Gemin4,Fas,Hist1h1t,Vwf,Ucn2,Usp18,Gsg1,Pdcd1lg2,Clec2i,Bcl2a1b,Fyb,Fignl1,Mcam,Ccdc172,Rasgrp3
280,Myh4,Oasl1,Mia,Rasl12,Repin1,Col25a1,Nkx2-2,Neu4,Chaf1b,Sytl3,Syt8,Prrt4,Vwa5b1,Nccrp1,Slc4a10,Trim55,Cd5,Klrb1f,Nlrp1b,Ctla2b,Spp1,Lhcgr,Nppb,Pi16,Mfge8,S100a4,Cnn1,Cd82,Pde6b,Map3k7cl
281,Piwil2,Cd6,Cox6a2,Ankle1,Tenm2,Tmem121b,Foxj1,Card9,Sowahb,Sptlc3,Tdrd12,Cdc6,Ctsh,Trbv13-1,Id1,Hsf2bp,Zbp1,Foxd3,Pilra,Il2rg,Tap1,Mndal,Camp,Adm,Icosl,Lmnb1,Tesmin,Lilrb4a,Aloxe3,Tnnt1
282,Slpi,Ribc2,Stoml3,Cd300lf,Erich3,Plekha6,Tmem121b,Zfp235,Grhl3,Trbv13-1,Slc30a2,Rnf138rt1,Ttc28,Gmnc,Neurl1b,Map3k7cl,Nrk,Col6a6,Aga,Bik,Ramp2,BC017158,Hp,Fam131c,Sp100,Dpt,Samd13,Csf3r,Pcdhb6,Myoc
283,Cdkn2a,Nhlh1,Rd3,Cldn34c1,Khdrbs2,Cyp4x1,Ltbp1,Sapcd2,Art1,Igkv1-122,Pla2g4f,Clhc1,Rassf9,Aldh1a7,Pcdha1,Pdcd1lg2,Ltf,Lefty1,Rnf2,Phf11b,Dnaic2,Serpina3g,Saa1,Wdr62,Csf2rb,Cbfa2t3,Samd3,Haao,S100a8,Hpn
284,Tslp,Pabpc1l,Cfap157,Sla2,Astn2,Wdr54,Ifi44,H2-Q2,Cyp11b1,Aldh1a7,Nrk,Tex29,Zbbx,Cd163l1,Kcnj6,Prok1,Camp,Onecut3,Zbed4,Spaar,Epha1,Ctsw,Tslp,Nr2f2,Ctsw,Epb41,Slc43a1,Rhoh,Rnf133,Mgl2
285,Fosb,Itgb1bp2,Myh7,Zfp975,Adgrl2,Cbln2,Ddx60,Mast1,F9,Drc7,Cpa6,Wnt2b,Rapgef3,Sytl3,Zim1,Wif1,Gimap6,Sct,Zfp185,Sypl2,Mxd3,Mrln,Wif1,Coro1a,Fam169b,Btk,Kif14,Ralgps2,Tnfrsf13b,Ccl4
286,Prok1,Trbv12-2,Tmem123,Psrc1,Crtac1,Foxf1,Eps8l2,Cd55,Ebf1,Ifi44,Dmrt2,Slc27a3,Irf7,Rrm2,Plcxd3,Teddm2,Fcgr4,Cd300lb,Sox9,Baiap2l1,Rhbdl2,Il1rapl1,Gbp5,Ccl2,Col6a2,Rrm2,Dnah8,Sigirr,Coch,Cfap43
287,Tfap2a,Aldh3b2,Cenpe,Epha1,Grb10,Sh3gl2,Sertad4,Sall3,Klhl14,Tmem51,Gfy,Cox6a2,Pear1,Vwa3a,Wnk2,Saa1,F9,Chrna3,Mycl,Cd209a,Slc25a35,Haao,Sgms1,Ncaph,Trbc1,Kynu,Olfr691,Clec4a3,Trdn,Zfp108
288,Alas2,Cfd,Ccl22,Crym,Them6,Mical2,Ccdc74a,Grin1,Igf2bp3,Rnf138rt1,Ncaph,Vegfd,Ift81,Lrrc74b,Zfp512b,Gfra3,Col28a1,Iqca,Hist1h3a,Sctr,Mns1,Hspb6,Gpc3,Myl2,Rbpms,Pirb,Gpr160,Itgb7,Olfr288,Parp16
289,Ccn2,Alox12b,Kcng2,Spata17,Zfp512b,Ulk4,Otud7a,Slc4a9,Pde4c,Slc4a1,Cbln2,Cstad,Spata17,Rad54l,Snrpn,Nppb,Artn,Slain1,Psrc1,Ifng,Ano1,Samd13,Bmp4,Rad54l,Lfng,Fmod,Rnf39,Islr,Pgpep1l,Wdfy4
290,Prkag3,Kcne2,Trim30b,Impg2,Grm4,Pou4f1,Adamts6,Gper1,Acad12,Wnt2b,Pth2r,Depp1,Ccdc85a,Car3,Rxfp1,Fosb,Thbs2,Gpr165,Slc22a8,Cox6a2,Foxf1,Slc43a1,Slc30a10,Mn1,Lhfpl2,Nr4a1,Sh2d1b1,Zfp764,Nyx,Calr4
291,Igkv5-45,Mindy4b-ps,Pim1,Il1b,B4galnt1,Tnfaip8l3,Map7d2,Galr3,Aldh1a7,Slc44a3,Tmem40,Cd96,Fank1,Ect2,Kit,Tslp,Ncf4,Tesmin,Mybpc1,Alpk3,Chst3,Rnf2,Pheta2,Foxc1,Eng,Sned1,Lilra5,Slc6a13,Aqp9,Fkbp11
292,Wnt2b,Ces2g,Myof,Vip,Dpysl4,Sema6c,Hoxa2,Cdh18,Sptlc3,Strc,Osgin1,Fam47e,Ccn2,Cdc6,Grasp,Mroh5,Kif4,Samd13,Otud7a,Sema3b,Acss3,Efhc1,Dtl,Lox,Sell,Tnf,Myo1a,Foxp1,Lmod2,AA467197
293,Misp,Odf3,Eng,Il17rb,Elavl4,Hoxd3,Ushbp1,Kif9,Igkv1-122,Cacng6,Phf11c,Rxfp3,Srgn,Cacng6,Vwa5b1,Knl1,Hist1h1t,Kif14,Vsig2,Cldn11,She,Insl6,Mroh5,Tmem114,Cd40,Serpinh1,Dthd1,Abracl,Lmntd1,Arhgef18
294,Cyb5r2,Fbxo47,Slc26a3,Sp9,Slc17a6,Cfap74,AW146154,Nlrp1b,Cd163l1,Cyb5r2,Kcnj6,Cd8a,Kcnmb1,Rnf138rt1,Sox17,Tex43,Mppe1,Srms,Car5a,Ces2g,Herc6,Angptl1,Tex43,Cracr2a,Runx3,Egr1,Rad54b,Cd5,Echdc3,Dnaaf3
295,Hes1,Dmrt2,Zbp1,Spdl1,Syt1,Cep112,Masp1,Apcdd1,Fam124b,Misp,Cd300lg,Kcnh4,Col18a1,Clhc1,Gad2,Alas2,Gpr160,Slc43a1,Il1b,Pabpc1l,Zfp764,Rnf39,Alas2,Doc2b,Mndal,Rnf213,P2rx1,Lfng,Nek2,Traf3ip3
296,Phf11c,Nrk,Perp,Kcnip2,Cntnap5a,Th,Tmie,Zfp185,Trbv13-1,Tex29,Cnksr1,Ckmt2,Pih1d2,Strc,Sstr2,Dtl,Dnah8,Samd3,Ccdc68,Itgb1bp2,Gprc5c,P2rx1,Knl1,Sdc1,Col6a3,Crip1,Ccn4,Eln,Gfi1,Rasl12
297,Serpinb8,Crct1,Cenpf,B3gnt6,Gpr37l1,Hoxa2,Ezr,Cabyr,Ctse,Clhc1,Urah,Lipt1,Txnip,Misp,Tmem114,Colec10,Ccn4,Fignl1,Rims2,Csf2rb,Ggt1,Zfp764,Colec10,Ifit1,Tnf,Spi1,Pcdha1,Gimap9,Zfp951,Cdca3
298,Pbk,Slc6a16,Efcc1,Kif23,Sema4f,Nsg1,Junb,Rassf10,Prkag3,Slc27a3,Cdkn2a,Doc2b,Hydin,Cyb5r2,Dkk3,Rapgef5,Ighg2b,Myom2,Adgrf2,Rrad,Prdm5,Dock2,Art1,Bmp6,Ccl12,Kmo,Insl6,Dpt,Qrfp,Btk
299,AI182371,Tdrd12,Gli1,Dmkn,Ntsr2,Ngb,Aga,Vwa5b1,Lhcgr,Cdc6,Mroh8,Ccl1,Lrp2,Wnt2b,Grin2a,Slit3,Aire,Trpv4,AW146154,Rubcnl,Susd2,Myo1c,Casr,Kcnn3,Rubcnl,Serping1,Mrgprh,Tagap,Tlcd2,Rsph9
300,Ildr1,Gfy,Itgb7,Akr1c13,Tmeff2,Nek11,Ifit1,Atp13a5,Ccl17,Sstr3,Slpi,Pitx2,Dcn,Mybpc1,Sh3gl2,Gapt,Ngp,Myo1a,Ppfibp1,Lrrc10b,Rfx2,Rassf10,Chaf1b,Ung,Dusp2,Cxcl13,Tll2,Hhex,Gzma,Pih1d2
301,Zfp994,Ltf,Clspn,Tbx21,Ltbp3,Nppc,Tmem60,Kcp,Slc27a3,Marveld3,Trim55,Bnipl,Agbl4,Ggt1,Glce,Xirp1,Lmntd1,Hjv,Gipr,Tmem220,Tmem161b,Pgpep1l,Sowahb,Ahnak2,Col15a1,Slamf1,Agtr2,Slc36a2,Clec4n,Unc13d
302,Ppfibp1,Cpa6,Hpcal4,Slamf1,Hcn1,Amigo2,Jag1,Kcnj8,Slc4a1,Rxfp3,Gemin4,Ildr1,Slc26a3,Cep41,Sapcd2,F9,Tlcd2,Chrne,Itga11,Jph2,Ucn2,Zfp951,Zpbp,Tmem121b,Cd5,Mgp,Neurog2,Carmil2,Gdnf,Spag8
303,Cfap70,Treml1,Cfap54,Edn3,Otud7a,Col19a1,Sapcd2,Il1b,Strc,Cd8a,Rad54l,Zfp994,Ttll9,Met,Cntnap5a,Klhl10,Pilra,P2rx1,Dclre1b,Trim55,Rapgef5,Fos,Xirp1,Edn3,Izumo1r,Mafb,Mc4r,Sdc1,Ifi206,Tes
304,F10,Wfdc8,Igf2bp3,Lcp1,Camsap3,Cadm3,Higd1b,Ip6k3,Cdc6,Fam47e,Lrrc74b,Rslcan18,Myom1,Kcnh4,Agbl4,Enpp3,Spata18,Rnf39,Nanos1,Sp110,Mylk,Skap1,Wnt10b,Tinagl1,Ccl3,Def6,Acbd7,Rem1,Mypn,Birc3
305,Mrln,Krt18,Ccdc173,Myof,Rgs11,Rsph10b,Star,Col5a1,Wnt2b,Matn1,Car3,Epcam,Cfap206,Marveld3,Nppc,Slco2a1,Tnfsf9,Rad54b,Fam167a,Fosb,Akr1c13,Arhgef33,Cdkn3,Ttc25,Gbp5,Irgm1,Fgfr4,Twist1,Cacna1s,Arhgdib
306,Plaat5,Pla2g4f,Tmem232,Neu4,Sirt6,Col18a1,Ing3,Gbp4,Slc44a3,Cd96,Timeless,Cass4,Gper1,Cd8a,Ripor2,Art1,Foxq1,Sh2d1b1,Dmkn,Wif1,Oas1a,Tnfsf9,Enpp3,Phf7,Cyp1b1,Ffar1,Ighg2b,Skap1,H2-M2,Grap
307,Ms4a4d,Syt8,Galr3,Myh4,Tcea2,Cntnap1,Kcnmb1,Hist1h1c,Misp,Has1,Pdcd1lg2,Sptssb,Sigirr,Fam47e,Astn2,Grhl3,Tuba1c,Ccn4,Capsl,Gfra3,Dnah10,Gbp4,Cyp11b1,Casc1,Eln,Zgpat,Aire,Gbp4,Pilra,Adam33
308,Sct,Slc30a2,Klf5,Has2,Gad1,Tdrp,Olfr288,Foxq1,Clhc1,Pbk,Wif1,Adamts15,Bmp6,AI182371,Col6a1,Mei4,Bmf,Insl6,Mcmdc2,Prkcd,Sapcd2,Dnali1,Gapt,Amhr2,Col6a1,Ighg3,Gck,Adam8,Atp6v0a4,Col28a1
309,Clspn,Slc17a7,Olfr78,Rnf2,Fgfr3,Kcnk9,Pdgfra,Pcolce2,Rnf138rt1,Kcnh4,Hp,Zbed4,Nid1,Has1,Unc5cl,Sowahb,Epha8,Angptl1,Spaar,Hck,Wdr62,Map3k6,F9,Rem1,Cytip,Top2a,Prg4,Tnfrsf13b,Cfap57,Ifi209
310,Sema3e,Slc26a7,Hvcn1,Slc44a5,Unc119,Lrrc10b,Cebpa,Acot1,Tex29,Rbm24,Camp,Aox3,Celsr1,Rxfp3,Tmem59l,Wnt10b,Ccdc68,Olfr691,Prtn3,Zfp974,Slc5a11,Psrc1,Klhl10,Pld6,Synpo2,Rasa4,Uts2b,Il1r1,Pfkfb1,Gbp2
311,Samd13,Trpv6,Cep112,Aoc3,Abca7,Gmnc,Tnni1,Mcmdc2,Casc1,Cyp26b1,Nppb,Mrln,Hdac7,Cd96,Cacng5,Cyp11b1,Ltb,Gpr160,Cxcl10,Ptpn6,Nwd1,Epha1,Grhl3,Ifi205,Thbs2,Rras2,Pde6b,Ripor2,Npy2r,Gimap8
312,Kif14,Qrfprl,Crybg1,Hist1h2ap,Mtcl1,Eml5,Map3k6,Nudt15,Phf7,Ccl5,Tslp,Grifin,Gadd45g,Pbk,Eng,Chaf1b,Six5,Dnah8,Tmem177,Osgin1,Kcnj8,Sp9,Mei4,B3gnt4,Lmnb1,Anxa6,Ccdc172,Wdr86,Htr5b,Ahr
313,Cnn1,Fkbp11,Grm2,Ctf1,Mest,Chia1,Ncaph,Tmem108,Ctf1,Myot,Gfra3,Acot5,Dnah1,Th,Raver2,Cdkn3,Bik,Dthd1,Ccm2l,Atf3,Ing3,Ccdc68,Slco2a1,Ctla2b,Col27a1,Col6a2,Pcdhb6,Hist1h1b,Nlrp1b,Carmil2
314,Wdr62,Cd300lg,Birc3,Chtf18,Pip5kl1,Sez6,Lhcgr,Tslp,Neurl1b,Ccl1,Prok1,Npm2,Ifit3,Ntn5,Haghl,Zpbp,Calml4,Lilra5,Nr1h3,Clec12b,Tap2,Rhbdl2,Clec12b,Twist1,Cd22,Tnfrsf1b,Rnf133,Fcrl1,Asgr1,Drc3
315,Lilra5,Hsf2bp,Hoxa2,Klrb1b,Adgrb2,Myo1a,Clhc1,Sox9,Itih4,Pitx2,Saa1,Shcbp1,Mlf1,Sh2d4a,Nxph4,Casr,Prtn3,Pcdha1,Gp1bb,Chaf1b,Lama5,Cnr2,Dhx58,Lrmp,Gimap1,Cep68,Tnfrsf13b,Blk,BC030867,Il4i1
316,Sh2d1b1,Slpi,Rac2,Ttc29,Dlk1,Gin1,Cacng6,Csf3r,Oas1c,Epcam,Fosb,F10,Il1r1,Abra,Gmnc,Clec12b,Capsl,Kcnmb1,Myh4,Casr,Abcc9,Ccl3,Gsg1,Il19,Mgl2,Serpinf1,Aloxe3,Slc12a7,Ect2l,Ncf4
317,Tmem88,Trim55,Gpr171,Aurka,Vegfa,Ccdc172,Matn4,Sema3e,Grm2,Abra,Perp,Il20ra,Ttc12,Ccl1,Kctd6,Tmem60,Zic1,Kif9,Hhex,Slco2a1,Cd86,Wdr86,Mef2b,Snai1,Klk6,Clec2i,Col28a1,Trim7,Naip5,Csf2rb
318,Clec4a3,Gemin4,Trdc,Akap14,Ptgds,Coch,Trh,Dbn1,Kcnh4,Bnipl,Calr4,Txndc2,Crygn,Bnipl,Rnf138rt1,Nccrp1,Cd209a,Bmp4,Smim18,Enpp3,Crym,Rxfp1,Prkag3,Parp14,Pi16,Cxcl12,Nyx,Ptpn7,Pklr,Dpt
