,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
1227,Degs2,Haao,Atp13a5,Cfap54,Jph2,Dnah6,Cacng5,Fam166b,Map3k20,Lrg1,Crb2,Rab37,Hoxa2,Cfap69,Gjb2,Crabp1,Cxcl10,Kctd16,Mecom,Rac2,Tes,Ncf4,Btla,Slc7a1,Slc10a4,Rassf10,Glycam1,Ccdc162,Nr4a1,Pirb
1228,Rreb1,B3galnt1,Cldn14,Ets1,Mcm5,Twist1,Adam33,Ung,Slco1a4,Kcnq4,Slc5a7,Ncmap,Igtp,Cavin1,Kcnk9,Fos,Tap2,Col5a3,Shc4,Arc,Slc30a10,Grap,Thbs2,T2,Plekha4,Matn4,Lef1,Glce,St8sia5,Dnah9
1229,Col13a1,Cd22,Gbp4,Slc12a7,Gbp9,Ttc21a,Grm8,Synpo,Camsap3,Tmem123,Gimap1,Myo7a,Isl1,Prph,Gbp4,Map3k20,Star,Thbs2,Nrn1,Togaram2,Cnr2,Myh2,Oasl2,Odf3b,Obscn,Myh11,Cdh8,Ttc28,Col15a1,Tnnc1
1230,Mfsd5,Ano1,H2-Eb2,Srgn,Itgb1bp2,Mns1,Rras2,Foxd1,Rras2,Rras2,Rras2,Sh3bp4,Mylk2,Nts,Mpzl1,Il2rg,Zswim1,Rbpms,Arhgap36,Sprr1a,Lilrb4a,Sptbn5,Rhbdf2,Tmem125,Mak,Grb10,Slc22a8,Ebf1,Fos,T2
1231,H2-Q7,Tie1,Igtp,Pkd2l1,Odf3,Iqgap2,Wdr49,Ccl12,Art3,Fgd5,Col11a1,Col5a3,Epha1,Odf3b,Igtp,Tinagl1,Plekhg2,Rasip1,Sbspon,Dao,Sh2d2a,Ddit4l,Rasgrp1,Tcap,Tmem121b,Myh1,Cdkl1,Chodl,Ecrg4,Ccdc88b
1232,Ckm,Pld5,Adam8,Slit3,Fam178b,Rrad,Tcea2,Ift81,Entpd3,Paqr6,Hsf4,Sp100,Cd6,Fabp3,Map3k6,Itgb7,Fam110a,Prph,Wdr54,Ms4a1,Mecom,Tmem114,Adarb2,Syk,Ttll6,Fcgr4,H2-Oa,Cpne4,Tinagl1,Tcap
1233,Prom1,Pou2af1,Gas2l3,Wtip,Cfd,Slc38a5,Gipr,Tagap,Mest,Egr1,Eml5,Usp18,Lyz1,Il9r,Ifih1,Ckm,Map3k6,Tmem161b,Chn2,Slfn2,Dnah6,Kcp,Gjb1,Ttll3,Tekt1,Tmem60,Tagln,Lrrc9,Sigirr,Slfn2
1234,Synpo2,Acss3,Gvin1,Armcx5,Trbv12-2,Aga,Cyp26b1,Fli1,Fbln2,Wdr54,Egr3,Unc119,Stk26,Crip1,Catip,Tagln,Hes1,Slc22a8,Bcl2l12,Fam216b,Nfkbid,Kcnj8,Fam222a,Dlk2,Sctr,Wdr49,Cartpt,Ccdc151,Fam149a,Synpo2
1235,Tek,Crabp1,Peak1,Mecom,Prkag3,Itih2,Pdyn,Stk36,Dusp4,Lrrk1,Tnfrsf12a,Traf1,Cd5,Lcp2,Kank3,Raver2,Chst3,Hspb1,Lrp8,Slc18a3,Lrrc71,Baz1a,Egr3,Osbp2,Myom1,Adgb,Cxcl10,Spag8,Serpinf1,Mapk15
1236,Mylpf,Cd40,Pcdh8,Stra6,Samd13,Wnk4,Tmem125,Cytip,Dnal1,Hrh3,Unc119,Tnfaip6,Phf7,Bst2,Prkd2,Ptp4a3,Kcnj14,Dlk1,Col16a1,Wdfy4,Wdr49,Rnf207,Shisa7,Itpr3,Efcc1,Dnah11,Sp100,Wnk4,Rgs9,Osbp2
